status,total_num_contacts_interacted_with,num_#_sms,total_interactions,ave_age,duration(s),num_contacts,ratio_of_bad_words_used,num_*_sms,ave_message_body_length,max_age,ave_daily_sms,user_id,calls,num_#_calls,num_bad_words_used,num_*_calls,ave_duration(s),ave_daily_duration(s),num_derogatory_sms,ave_daily_sms_count,ave_daily_contacts_interacted_with,ave_daily_calls
defaulted,64,0,662,,5345,207,0.000517196793379881,0,39.27272727272727,,50.09090909090909,144,111,0,2,1,48.153153153153156,485.90909090909093,2,50.0,13.0,10.090909090909092
defaulted,487,0,7486,,92255,1114,0.00031828550209537956,0,34.30538319637766,,62.125,145,1522,11,12,2,60.61432325886991,1590.603448275862,12,62.104166666666664,17.114583333333332,26.24137931034483
repaid,145,0,3031,,118017,280,0.0006843455945252353,0,86.0497572815534,,8.649214659685864,142,1379,0,16,3,85.58158085569254,944.136,16,9.94578313253012,5.141361256544503,11.032
repaid,430,0,5519,,80326,288,0.0001798330122029544,0,131.10276073619633,,10.812154696132596,143,3562,0,7,1,22.550814149354295,521.5974025974026,7,11.854545454545455,14.696132596685082,23.12987012987013
defaulted,123,0,1188,,48040,391,0.0,0,111.57142857142857,,0.1917808219178082,140,1174,0,0,0,40.91993185689949,658.082191780822,0,4.0,6.123287671232877,16.08219178082192
repaid,295,0,2937,,67024,577,8.838607035531201e-05,0,111.54186413902053,,3.541899441340782,141,2303,0,1,6,29.102909248805904,378.6666666666667,1,5.104838709677419,7.111731843575419,13.01129943502825
defaulted,278,0,2786,,35575,416,5.361930294906166e-05,0,75.96637525218561,,10.861313868613138,148,1298,0,1,4,27.407550077041602,282.3412698412698,1,12.709401709401709,7.481751824817518,10.301587301587302
defaulted,353,0,2863,,43793,414,0.00011465917560052743,0,92.76628010704728,,7.2387096774193544,149,1741,0,2,1,25.15393452039058,312.8071428571429,2,20.017857142857142,8.245161290322581,12.435714285714285
repaid,364,0,7817,,149408,378,0.0,0,81.37021276595745,,4.978835978835979,133,6876,0,0,7,21.72891215823153,807.6108108108108,0,15.40983606557377,13.502645502645503,37.167567567567566
repaid,1360,0,19802,,387154,504,0.00021536685590234405,0,65.88581250580692,,48.96818181818182,132,9029,0,25,0,42.87894561966995,2104.0978260869565,25,49.18721461187214,31.30909090909091,49.07065217391305
defaulted,50,0,240,,5354,14,0.0,0,95.47407407407407,,27.0,131,105,0,0,0,50.99047619047619,1338.5,0,26.8,16.6,26.25
